,beta=0.0,beta=0.01,beta=0.02,beta=0.03,beta=0.04,beta=0.05,beta=0.06,beta=0.07,beta=0.08,beta=0.09,beta=0.1,beta=0.11,beta=0.12,beta=0.13,beta=0.14,beta=0.15,beta=0.16,beta=0.17,beta=0.18,beta=0.19,beta=0.2,beta=0.21,beta=0.22,beta=0.23,beta=0.24,beta=0.25,beta=0.26,beta=0.27,beta=0.28,beta=0.29,beta=0.3,beta=0.31,beta=0.32,beta=0.33,beta=0.34,beta=0.35,beta=0.36,beta=0.37,beta=0.38,beta=0.39,beta=0.4,beta=0.41,beta=0.42,beta=0.43,beta=0.44,beta=0.45,beta=0.46,beta=0.47,beta=0.48,beta=0.49,beta=0.5,beta=0.51,beta=0.52,beta=0.53,beta=0.54,beta=0.55,beta=0.56,beta=0.57,beta=0.58,beta=0.59,beta=0.6,beta=0.61,beta=0.62,beta=0.63,beta=0.64,beta=0.65,beta=0.66,beta=0.67,beta=0.68,beta=0.69,beta=0.7,beta=0.71,beta=0.72,beta=0.73,beta=0.74,beta=0.75,beta=0.76,beta=0.77,beta=0.78,beta=0.79,beta=0.8,beta=0.81,beta=0.82,beta=0.83,beta=0.84,beta=0.85,beta=0.86,beta=0.87,beta=0.88,beta=0.89,beta=0.9,beta=0.91,beta=0.92,beta=0.93,beta=0.94,beta=0.95,beta=0.96,beta=0.97,beta=0.98,beta=0.99,beta=1.0
0,4.579882688852502,4.470318985646677,4.551591452248108,4.5230114254709015,4.52742390082776,4.605504442578496,4.528734586057035,4.609663667005452,4.618958149956626,4.540322150801991,4.532577240582445,4.4534964047943255,4.6666934662678745,4.7675250226098065,4.542171829825219,4.618434009046101,4.581481104525191,4.490295543691793,4.622674210816984,4.591974958482643,4.445275662992761,4.3588032726194665,4.530395766116996,4.541837521304016,4.517259174857834,4.463333861759143,4.559248222025758,4.570882253436186,4.4967883780995885,4.411954367731661,4.568240645663236,4.469573809208876,4.745758734836813,4.840194523123371,4.537931664624241,4.597605356781847,4.655277855506695,4.4666301799022285,4.437389687381005,4.435674881678272,4.531214785786418,4.591309239618744,4.593459950544323,4.612414821399011,4.565427985172664,4.68299505944023,4.651309975269177,4.461003021509336,4.530725866307877,4.558224443075048,4.576727290348189,4.544949560322557,4.442369356251862,4.4514684620458755,4.40816277700786,4.389136686151396,4.492625081725945,4.649655143721985,4.527646815606555,4.47212611359097,4.53984786398754,4.351346385598988,4.450564786152132,4.473592621308744,4.517273141448111,4.5196632137245,4.47937706899971,4.330989093517083,4.503614627522889,4.457334463892192,4.5272220508424255,4.418117606472023,4.494447107848603,4.473193954485372,4.363645216623085,4.446369878334519,4.544769053081789,4.397373713215135,4.580983397616906,4.709107554113169,4.385713849368408,4.502999885122222,4.47161531153424,4.614209637102141,4.439299666679848,4.493930862034184,4.41738078229661,4.412801277397055,4.360090863408708,4.588148358787754,4.463797560848973,4.600350741860831,4.474727190541101,4.29758351511287,4.622758172986019,4.539763417108996,4.548922480950036,4.589396001606648,4.44160187509866,4.420354195962871,4.395054220133732
1,4.497882646725534,4.503125612339459,4.586040194499173,4.51748521398082,4.559598581109684,4.561425276426611,4.555050489274137,4.53022185373248,4.61404728944521,4.63124643264633,4.526296705587726,4.479146744504437,4.5590757235155746,4.588057518978138,4.563555125961321,4.576312545579067,4.443679074809972,4.515618063978144,4.589254929624304,4.590441723213643,4.551484775490366,4.484159118487015,4.563928318018096,4.472457599886037,4.511066848032429,4.496200165213043,4.588854690365976,4.500815658934979,4.509515878005437,4.495104882294073,4.532595403227251,4.454600703912351,4.674155818453017,4.770683938027585,4.54869219733746,4.483792095102925,4.581246583565298,4.51473943160328,4.407139814798721,4.520723763364793,4.549363087153627,4.55390338734673,4.504024070028979,4.532103092564363,4.516107449323187,4.639646657463091,4.6556138473844095,4.504782365560269,4.498778581182583,4.515458745215397,4.47659972432526,4.511634291840083,4.409777619018754,4.4825321764209125,4.414393269342622,4.489347345621166,4.5081473792383235,4.613709627503825,4.541600848229445,4.515129793889724,4.555893785519895,4.430461027977444,4.487749830747929,4.492653430913546,4.553616616752575,4.658843806995816,4.517827368792293,4.467639118876394,4.448276348041571,4.504076998047304,4.545761699828002,4.430990289358714,4.446932564825228,4.47854367719655,4.4436254567324225,4.447822219479461,4.546964730236898,4.513716985866242,4.579571828002977,4.6443998421471155,4.437830448010651,4.517750478435021,4.529056347112479,4.608015997151464,4.495468073400087,4.511106405539553,4.4721709804966965,4.498290238734031,4.411096891568529,4.557147611208875,4.5458335741894595,4.59957994419095,4.535164167195684,4.38222357238561,4.549157917174816,4.5270533343370705,4.661781390853703,4.575241148141755,4.378360057451905,4.465473849021676,4.354053439239423
2,4.50322219116936,4.498436749727687,4.579229366456186,4.566652359478774,4.606723579229098,4.611040438511351,4.6011162747547525,4.5772383246977215,4.626787408699584,4.660447097111596,4.631916353520421,4.555497166618415,4.643836351073121,4.67584088216924,4.694493732803299,4.720835374078556,4.53153659005427,4.614021409870852,4.610876481796087,4.683088090372292,4.664110422331207,4.6768864196345685,4.702206315459938,4.591377943227306,4.583174239491373,4.631809102061216,4.723357405222351,4.672658682972607,4.651129130504241,4.617667821656867,4.694384832596341,4.611883317990869,4.74418780262207,4.8905463080048,4.696492831213401,4.641296310765596,4.735191557734662,4.670549732737468,4.641458243957058,4.673411736752806,4.739067010992795,4.757838776761563,4.682741655123736,4.671827671058681,4.762672262526081,4.77684808302295,4.79891416736643,4.650987648016865,4.700346823892996,4.649130172532698,4.677829696527799,4.7408874798469816,4.530137144541775,4.6677954213267405,4.600196299884391,4.6693257065815,4.6622021355116905,4.750760688208151,4.74147537662715,4.687087308114474,4.651544506584183,4.617311942731074,4.643675600887375,4.687265346165825,4.781972580410732,4.808183783055584,4.687943791215007,4.667847829763556,4.578829209946612,4.689795397938778,4.698928999516498,4.6118070779836415,4.631452158711689,4.678179066126688,4.671297099912072,4.6200666489159685,4.686173024854189,4.666209138504464,4.774884084305488,4.848031779267345,4.586633723556654,4.71922614982345,4.7026729149471365,4.766699469719729,4.654074312332981,4.704107397516227,4.658959652838544,4.666427746882106,4.554629185887765,4.681837519209101,4.751345825504539,4.763645960646245,4.680924261542411,4.562205665234977,4.683529614774138,4.678618345317872,4.801817337133161,4.7978297273511945,4.597620366045969,4.629455661475883,4.5773477210910265
3,4.521969761868424,4.5436345864620105,4.615110885019381,4.569066835827976,4.644019716783305,4.671626960863368,4.673303234133329,4.673075378424996,4.702177255249119,4.740595343111037,4.692459247253784,4.698907767774685,4.7608884069613415,4.836657435689672,4.792705811747921,4.839370034152022,4.674283118874324,4.744963356321315,4.785087921552839,4.793303317021818,4.802353907180289,4.8269068937607065,4.822421972409244,4.758683607222385,4.74490919391373,4.7978581903773385,4.858656919496299,4.847902761782599,4.838728297555299,4.782901117454834,4.859134671543889,4.786097517781278,4.900870884215696,5.020296663467979,4.859694191436357,4.880094906036239,4.913209710440007,4.862924838256388,4.81598660914209,4.854007120307454,4.906896816910813,4.956676393645413,4.848231396335348,4.8413309982693296,4.946191396784293,4.9757804095218,4.98850917732377,4.869486188750966,4.886910055026941,4.846313429425263,4.8916553330528965,4.937501165421016,4.735450344183027,4.864614878057448,4.794545525194022,4.857472666430073,4.85347266031494,4.9286001683694804,4.922500651806594,4.896313005650538,4.824283389156369,4.844367415208062,4.866581442037225,4.894196868686941,4.957177439526728,4.982917243094162,4.879425559338556,4.878998705796189,4.76657263752697,4.8639790306093476,4.893020638631176,4.820484811477653,4.790828148648408,4.88236157587992,4.908764623131979,4.853451605662446,4.875064227032241,4.868415546418063,4.955754022571157,5.06955433732215,4.746524466147201,4.926171070053402,4.88853021157192,4.930012602088147,4.85703085882972,4.906957043396268,4.857578725973147,4.856297865432808,4.751750448329376,4.820408714923765,4.942193484116872,4.948584144414159,4.849817106131139,4.7674706162837195,4.873995072029188,4.852086876284377,4.974849835937049,4.971296798522884,4.783022689719513,4.823086996598926,4.790472469004926
4,4.543034688980322,4.55854497566745,4.585658016466085,4.6280693719890476,4.650906455293568,4.707069242566658,4.766602254905032,4.752435654567875,4.811892978255557,4.824942347056277,4.8123608822077255,4.800995113312457,4.865622564534625,4.966397521397244,4.906794394362321,4.960779102386942,4.805673899342499,4.913464155477081,4.949556506974648,4.959234538952674,4.965401774988457,5.0143143956306035,4.991884360327647,4.940224683710007,4.891241291278723,4.971352750784177,5.038502705251249,5.007833987309583,4.985090881501518,4.9731511962748645,5.034048013330286,4.954479623692137,5.031496342165355,5.150610828550856,5.0344454357370765,5.035527458622748,5.108713551045919,5.02852811051778,4.974630474882893,5.004655466463332,5.0686658945477365,5.131545287623707,5.0287209099356,5.031308508725891,5.12307830044825,5.154335817065089,5.164313589240335,5.054592012753349,5.0922801061685865,5.069888019993491,5.069375248962072,5.116470233064094,4.9140521378416055,5.051171798463655,4.988440562669557,5.04919449867518,5.045875429426558,5.0937910675120985,5.087671584397649,5.098751072706437,5.0090015590763475,5.044713914684285,5.032955254044304,5.065680995847732,5.149247428502999,5.161204140141669,5.052675364309269,5.019815610827911,4.9585806190926585,5.018377174768955,5.071815955497138,5.00612279263019,4.963232284618787,5.041725433993393,5.085034655292053,5.02928309743415,5.00873191033057,5.027183000035622,5.118932364220614,5.22471580107238,4.9317785887165435,5.100046507047441,5.045814183574183,5.098867300370082,5.0476254980428825,5.0765859186867734,5.03042013415133,5.009473034199708,4.9396827329878406,4.981838628003129,5.123593418507417,5.095754513843141,5.000156206958786,4.954419539209399,5.046819675829597,5.026507027794706,5.1367540357499495,5.14103354412629,4.95886563366363,4.992140767591698,4.984388158568839
5,4.535658677716068,4.572629020692675,4.61855601077041,4.671991930254683,4.703406476514328,4.76621802917097,4.845331558424253,4.85438321672789,4.904453810144212,4.952082908028368,4.916155364547921,4.8982663983758625,4.987360900676019,5.07430238071235,5.038297651990361,5.0931117713409995,4.954823786863437,5.074708598252785,5.111432197572767,5.099147360539214,5.102830227601286,5.169190293420511,5.143602496367322,5.059127472485578,5.050097008394887,5.120356258696513,5.196317051205783,5.1690490742720145,5.154958883029158,5.127721231520461,5.222427811959128,5.128522881398192,5.2071038867674995,5.3277232341415415,5.214722143006233,5.208001665165671,5.258220560545475,5.214505041795082,5.132515712824352,5.184387511775914,5.201035990348839,5.290498712021677,5.176048175097914,5.1773851574839185,5.291530077093805,5.319667730801402,5.323776081040626,5.222049565131522,5.266921506393919,5.243013803910934,5.242920301975331,5.282675595389501,5.073915983648175,5.213009586691976,5.169850790809319,5.201762667743433,5.217179130508662,5.232389688040304,5.252872570564722,5.282090286917725,5.171653043397676,5.191991232718349,5.171756403463242,5.2505143677412836,5.293964429521933,5.343918182167194,5.190608934276928,5.170970413779881,5.117823758777841,5.164822880338811,5.221117994821428,5.158083986224624,5.114809700525095,5.191576856647083,5.22112764806477,5.184052716075349,5.164427877994208,5.180467512190898,5.269727249561487,5.3475175441622245,5.091219391758567,5.2618083469001675,5.212071387815932,5.272590481494903,5.213971641339063,5.220589489490061,5.17805766244501,5.168470749583741,5.0994448035461915,5.118654950719488,5.269540585199365,5.249485781070485,5.1614910437147055,5.0990980390748435,5.203388047352255,5.186579444380571,5.288088709507032,5.274793749393191,5.1122878526171505,5.149807403183644,5.135687238277585
6,4.521725372820409,4.575043653211331,4.654718752080571,4.72854357837821,4.778393803023627,4.820290634987778,4.919280634695371,4.92608896739966,4.991057522380951,5.067914885645249,5.057673969008203,5.017725402115339,5.095183059096997,5.182208507364632,5.173501831659152,5.1999981511057625,5.087072570359712,5.206463427465328,5.248208326993599,5.241986692167984,5.250481692064953,5.308164045878429,5.292460495131089,5.197610992229961,5.188464530256271,5.260284339453686,5.340903981932052,5.337333866965106,5.305850544002046,5.284131779461855,5.3614469004735525,5.302775390080555,5.354756184588368,5.445030063419034,5.38637434765913,5.359020285543613,5.42064243786727,5.34919749556298,5.285391751783031,5.326285967765517,5.356357360569838,5.4388842373190975,5.338366752135902,5.3224075250949765,5.4218864286942425,5.474388090228591,5.481276905374107,5.381958276027483,5.423181247091655,5.372756617884243,5.397720207824572,5.429837155240684,5.211872338861464,5.3696645984295,5.307442132556908,5.3517219345114535,5.3569269685232825,5.372776362962122,5.408592667254562,5.441277817075415,5.31169047799257,5.325534825943219,5.32137253698441,5.397918134681574,5.4473227963652215,5.482390715377689,5.331966543147608,5.310868800502283,5.255044983438996,5.318064802794419,5.361251558723763,5.29786349042968,5.2457277565991145,5.335900976096747,5.362865907963883,5.3279335175881615,5.2831174877371625,5.297813362541249,5.402679448455186,5.474202005772598,5.256282026768868,5.387332244557076,5.322183942871341,5.416875032569887,5.337104600723769,5.355767436404772,5.294780074353805,5.28469146604319,5.231144760341028,5.242837843876266,5.40039179103646,5.380604679869521,5.291254439912166,5.236964309753832,5.33285026259781,5.309583933778005,5.41775034559825,5.396425620919016,5.244646983403232,5.276978444951808,5.284252983583701
7,4.537624544371618,4.589810700140583,4.694400944506475,4.760781020388789,4.830277839313154,4.860756519285194,4.991951286314207,4.993974980587224,5.100689129635574,5.154734738689879,5.172048007982849,5.129807776458358,5.197789102603214,5.296563761413429,5.300888056096474,5.339198291750068,5.23378538871259,5.310836981583877,5.3635780244444895,5.372355651165366,5.357030119077,5.4408933906754955,5.424463852006283,5.332269342339414,5.313024187167896,5.400535030420035,5.45622100340168,5.470941233705471,5.446398863693996,5.422272961277391,5.5063970094178565,5.434623162521257,5.489271028079678,5.567407685053149,5.544998399974673,5.481617402602247,5.54181258974228,5.474581891951336,5.418522043981494,5.448901953075634,5.511905688474422,5.578083576598923,5.460390220429708,5.467206870174995,5.543857326900205,5.606186075447891,5.619698167952976,5.528766358196081,5.547087173278527,5.497906463948115,5.517527417690627,5.5689703303595035,5.349311403418478,5.506568107305389,5.43649034860229,5.47602563824057,5.494976389249305,5.498838861625817,5.545396698331048,5.5631722821362874,5.442711287205535,5.470064984305486,5.471531845597651,5.533302022748758,5.580482333189404,5.575571995208721,5.463433251611844,5.432714496733827,5.385593701077077,5.442153906268447,5.4824834102805236,5.41805222632604,5.366229973727105,5.4517420989111995,5.503410967781746,5.453552335736599,5.398628576602001,5.410603394282298,5.521426290939926,5.6008280699165205,5.387256272209516,5.493412738402889,5.447640809894424,5.51975977266566,5.46598982184407,5.46673986122432,5.400277952037656,5.391960246502608,5.360825979082085,5.362207277249034,5.50965404934206,5.498266445777085,5.412975655024027,5.348730738229859,5.443930990057803,5.428842161723045,5.528263132413514,5.501577281836711,5.3709277500238946,5.380981214599297,5.415078940126503
8,4.551072929513176,4.622118711951203,4.6975562096934596,4.810480002918748,4.884673337052881,4.928995531740495,5.062302383253525,5.06326326149815,5.1737952681365424,5.23667656193908,5.276579181479198,5.238503777052167,5.310936770618642,5.403234551261076,5.413291172564093,5.443407707358801,5.3621252729479405,5.425700898902387,5.476641319276588,5.485906601431342,5.453315099783763,5.551993764224938,5.5392152268703265,5.451734980111944,5.443409410310195,5.5293006890257255,5.584461129744547,5.59588429805305,5.572266122730813,5.553269911526157,5.635145774599459,5.563841033105666,5.6153466898445314,5.688649901236966,5.672910310483698,5.603933268583356,5.647073483475309,5.588180423321913,5.53932557208501,5.574321952137358,5.6385849930580605,5.689620371964822,5.576618064435362,5.58252749789563,5.664237838125288,5.722147572687287,5.723651181328627,5.6509772782251435,5.657849914465997,5.619112723597718,5.6455575585316975,5.687989018052079,5.469412784360215,5.634107933903612,5.548665350596139,5.594161558086792,5.615975596661042,5.627075341059778,5.659836829167039,5.67411228073494,5.556729224525975,5.585366736477467,5.604185206999348,5.635820614632541,5.695177490758333,5.670797419745663,5.575175181509514,5.543855574983359,5.50026845917821,5.559021648325857,5.588867448911109,5.530752688600053,5.477964795788848,5.553897050962871,5.615906892724975,5.559247536764047,5.495560198933253,5.515606242059834,5.622358052476493,5.698366176463764,5.491393008025909,5.592149120410581,5.539772870335064,5.613032487768674,5.572408602004062,5.568906935457059,5.499097765122868,5.505091036096964,5.474451405892493,5.469411331454793,5.614062138586182,5.602116086752773,5.497297371934821,5.446670526235467,5.549645256316688,5.536582942753468,5.62777216323654,5.600104558735344,5.468480950939488,5.486489730060409,5.511949224626598
9,4.564870504263429,4.629121975934056,4.714394357661071,4.853577330196462,4.930001977972359,5.012198759384003,5.143935707177778,5.141239939372162,5.264127542101207,5.31861826898486,5.364721577638346,5.330478621055435,5.428582915016176,5.495364428084218,5.530042919711084,5.536838266423431,5.470803405496013,5.537997688157597,5.59052700338481,5.599383658164483,5.560896647222527,5.6601323955031,5.6334295333239055,5.579246307213799,5.550880170769299,5.628364052969573,5.693146962842528,5.7150717614327355,5.695723336683032,5.66154893257472,5.756803061156739,5.687180089907592,5.72800227935859,5.813224392608006,5.7925493968728015,5.707656324174884,5.764416148829292,5.687523076589479,5.665117300172236,5.668098777547206,5.752119849996289,5.7993635965710455,5.680324253388057,5.694911246549423,5.766303507982346,5.830748969599113,5.83237888013249,5.758430194442681,5.773673110037784,5.709862304735499,5.758108232940635,5.784758154096783,5.582850219684175,5.738759236654006,5.6543018192678725,5.706514578679893,5.718637354577678,5.740688190550695,5.761883048108938,5.769812581791163,5.643924761677236,5.6886817978109425,5.708021202416364,5.738931911491637,5.793725525247142,5.764906026318444,5.694212545748211,5.638701340508056,5.609682737173473,5.655180105275419,5.69502014495315,5.639902637231755,5.563810615593718,5.650672416362363,5.703072789489623,5.654349237481378,5.5938314178712005,5.6144436563764675,5.725309754406863,5.794881807924993,5.595703366291187,5.693234817369344,5.644243542158712,5.702437418919404,5.6615260677646,5.663440601805574,5.590566460262002,5.5877447381466965,5.57818421607715,5.576852318091676,5.6969279286349375,5.690243394257985,5.594537525516418,5.533012344287157,5.638343039827222,5.626210842254395,5.7141871720536335,5.680378708182111,5.5541477228143465,5.575358379717685,5.5957107892811075
